id;Type;nom;description;adresse;cp;commune;web;GPS;email;tel;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;Gratuit/payant;Ouvert/fermé;covid
PAN012;Ferme pédagogique;Francilianes;Élevage d'ânesses laitières et ferme pédagogique.;86 rue des bordes;94430.0;Chennevières-sur-Marne;https://www.francilianes.fr/;48.799184, 2.560666;asinerie@francilianes.fr;06 61 59 12 12;;;;;;;;Payant;Ouvert;Quelques dates sont proposées en juillet et en août. Les visites sont limitées à 16 personnes et sur réservation.
PAN016;Ferme pédagogique;La Bergerie nationale;Un circuit de visite permet d'approcher tous les animaux de la ferme.  Du 4 juillet au 31 août, la Bergerie nationale propose des animations sportives entre jeu et découverte de l’agroécologie.;Parc du château;78120.0;Rambouillet;http://www.bergerie-nationale.educagri.fr/;48.647814, 1.807437;animation@bergerie-nationale.fr;01 61 08 68 70;14h-18h30;14h-18h30;14h-18h30;14h-18h30;14h-18h30;14h-18h30;14h-18h30;Payant;Ouvert;Port du masque obligatoire. Certaines animations proposées habituellement par l’exploitation agricole/ferme pédagogique sont fermées pour l’instant.
PAN023;Ferme pédagogique;Ferme Ouverte de Saint-Cyr-l’École;Dans le site historique de la Ferme de Gally,  le circuit des fameuses cabanes tonneaux au Bois de Gally  passe devant les prés des ânes, des moutons, des chevaux, des chèvres et de leur chevreaux.;CD 7 - Chemin de Bailly;78210.0;Saint-Cyr-l'École;https://www.lesfermesdegally.com/la-ferme-de-gally-saint-cyr-lecole/la-ferme-ouverte-saint-cyr-lecole;48.818194, 2.081725;;01 30 14 60 60;10h-12h30 et 14h-18h;10h-12h30 et 14h-18h;10h-12h30 et 14h-18h;10h-12h30 et 14h-18h;10h-12h30 et 14h-18h;10h-18h30;10h-18h30;Payant;Ouvert;La Ferme a rouvert fin mai. Pour la sécurité de tous, la visite se fait sous forme de circuit en sens unique et la fréquentation est limitée. Il est donc  recommandé de réserver en ligne.
PAN018;Aquarium;Aquarium Sea Life Paris;L'aquarium Sea Life propose de découvrir les richesses du monde marin et l'importance de leur protection. Avec des bassins adaptés aux jeunes enfants, l'aquarium offre un panorama de différents écosystèmes tels que les récifs coralliens, l'Amazonie, les grandes profondeurs océaniques...;14 cours du Danube;77700.0;Serris;https://www.visitsealife.com/paris/;48.8554, 2.784;paris@merlinentertainments.biz;01 60 42 33 50;11h-17h;11h-17h;11h-17h;11h-17h;11h-17h;10h30-17h30;10h30-17h30;Payant;Ouvert;L'aquarium a rouvert ses portes le 16 juin.
PAN029;Ferme pédagogique;Élevage La Doudou;"L'Elevage la doudou est une ferme traditionnelle  en production laitière  et pédagogique  qui propose des visites de la ferme et du musée Agricole. 
L'élevage comprend 60 chèvres laitières de race Alpine et Saanen, des vaches laitières et des vaches allaitantes, ainsi que des chevaux, des ânes, des lapins et la basse-cour.";8 chemin du Cimetière au Parc;91630.0;Cheptainville;https://www.la-doudou.com/;48.547712, 2.267383;contact@la-doudou.com;01 64 56 96 96;Fermé;14h-17h30;10h-12h et 14h-17h30;14h-17h30;14h-17h30;14h-17h30;14h-17h30;Payant;Ouvert;L'Élevage La Doudou a rouvert ses portes en mai.
PAN005;Zoo;Terre de singes;Le parc propose une immersion dans le monde des macaques qui évoluent en semi-liberté. Les visiteurs peuvent également entrer dans une immense volière où plus de 100 oiseaux évoluent librement.;D402;77540.0;Lumigny-Nesles-Ormeaux;https://www.parcs-zoologiques-lumigny.fr/;48.714592, 2.964153;info@parcs-zoologiques-lumigny.fr;01 64 51 33 33;10h-18h;10h-18h;10h-18h;10h-18h;10h-18h;10h-18h;10h-18h;Payant;Ouvert;Le parc Terre de singes est rouvert depuis le 30 mai.
PAN015;Ferme pédagogique;Ferme Saint-Hilaire du Jardin d'Acclimatation;Un charmant hameau dans un style normand, abrite lapins, cochons d'Inde, chèvres de Rove, moutons d'Ouessant, ânes, un poulailler et un rucher.;Bois de Boulogne;75016.0;Paris;http://www.jardindacclimatation.fr/attractions/la-petite-ferme;48.879316, 2.261595;;01 40 67 90 85;10h-19h;10h-19h;10h-19h;10h-19h;10h-19h;10h-19h;10h-19h;Payant;Ouvert;Le Jardin d'Acclimatation a rouvert ses portes le 22 juin. L'entrée Saint-James est réservée à la sortie uniquement.
PAN028;Ferme pédagogique;Ferme du Piqueur;L’équipe pédagogique propose tout au long de l’année des ateliers d’éveil à la nature et à l’environnement. Il s’agit avant tout d’accueillir l’enfant et de l’aider à mieux comprendre les relations entre l’homme, la nature et son environnement, en développant son sens de l’observation et en éveillant sa curiosité.;28 rue Gabriel Péri;92140.0;Clamart;http://www.fermedupiqueur.org/;48.803318, 2.267345;;01 46 02 24 53;Fermé;Fermé;Fermé;Fermé;Fermé;10h30-12h30 et 13h30-17h30;10h30-12h30 et 13h30-17h30;Payant;Ouvert;
PAN002;Zoo;Parc zoologique de Paris;Au cœur du bois de Vincennes, le Parc zoologique de Paris propose aux visiteurs de découvrir 2500 animaux sur 14,5 hectares.;Avenue Daumesnil;75012.0;Paris;https://www.parczoologiquedeparis.fr/;48.833121, 2.417885;;08 11 22 41 22​;9h30-20h30;9h30-20h30;9h30-20h30;9h30-20h30;9h30-20h30;9h30-20h30;9h30-20h30;Payant;Ouvert;Le Parc a rouvert ses portes le 6 juin.  Visite sur réservation uniquement.
PAN007;Zoo;Zoo du bois d'Attilly;Le zoo du bois d’Attilly propose de découvrir 500 animaux de la faune sauvage des 5 continents représentant quelques 100 espèces de mammifères et d’oiseaux. De grands espaces naturels ont été aménagés sur 20 hectares.;Route de Chevry;77150.0;Férolles-Attilly;http://www.zoo-attilly.fr/;48.74597, 2.666116;;01 60 02 34 34;10h-18h;10h-18h;10h-18h;10h-18h;10h-18h;10h-19h;10h-19h;Payant;Ouvert;Le zoo a rouvert ses portes le 2 juin.
PAN013;Volière;Le Jardin des Papillons du Parc floral;Le jardin reconstitue, dans une profusion de plantes et de fleurs, les conditions de vie propices aux papillons d’Île-de-France.;Route de la Pyramide;75012.0;Paris;https://www.paris.fr/equipements/le-jardin-des-papillons-1792;48.839605, 2.44181;maisonparisnature@paris.fr;;Fermé;Fermé;13h30-17h30;13h30-17h30;13h30-17h30;Fermé;13h30-18h30;Payant;Ouvert;Le jardin a rouvert le 1er juillet. Le port du masque est fortement recommandé.
PAN030;Ferme pédagogique;Ferme pédagogique de Pontoise;À la  ferme de Pontoise, plus de 100 animaux sont visibles, de la poule au cheval de trait ! Les espèces représentées sont majoritairement issues de races à faible effectif.;2 rue des Pâtis;95300.0;Pontoise;https://www.fermepedagogiquedepontoise.fr/;49.050629, 2.086511;leszherbesfolles@gmail.com;01 30 32 03 72;Fermé;Fermé;Fermé;Fermé;Fermé;14h18h;14h18h;Gratuit;Ouvert;La Ferme a rouvert ses portes le 2 juin.
PAN026;Ferme pédagogique;Ferme pédagogique de Saint-Hilliers;La Ferme Pédagogique de Saint Hilliers située au cœur de la Brie Champenoise, proposent de découvrir ses animaux au cours d'une séance de 2 heures en compagnie d'un animateur.;Hameau de Savigny;77160.0;Saint-Hilliers;http://www.fermepedagogique.net/;48.617798, 3.281719;contact@ferme-animaux.net;01 64 00 24 61;15h-17h;15h-17h;15h-17h;15h-17h;15h-17h;15h-17h;15h-17h;Payant;Ouvert;Inscription téléphonique obligatoire.
PAN004;Zoo;Parc des félins;Le Parc propose 26 espèces de félins (environ 300 animaux) dans de vastes enclos naturels sur plus de 70 hectares.;La Fortelle;77540.0;Lumigny-Nesles-Ormeaux;https://www.parcs-zoologiques-lumigny.fr/;48.708982, 2.956056;info@parcs-zoologiques-lumigny.fr;01 64 51 33 33;9h30-19h30;9h30-19h30;9h30-19h30;9h30-19h30;9h30-19h30;9h30-19h30;9h30-19h30;Payant;Ouvert;Le Parc des félins est rouvert depuis le 30 mai.
PAN022;Aquarium;Aquarium de la Cité des sciences et de l'industrie;Scindé en 3 bassins de 40 000, 10 000 et 80 000 litres d’eau, ce petit aquarium donne un aperçu du paysage marin qu’un plongeur peut découvrir en allant jusqu’à 50 mètres de profondeur, sans s’éloigner du rivage.;30 avenue Corentin Cariou;75019.0;Paris;http://www.cite-sciences.fr/fr/au-programme/expos-permanentes/laquarium/;48.895644, 2.387921;infocontact@universcience.fr;01 85 53 99 74;Fermé;10h-18h;10h-18h;10h-18h;10h-18h;10h-18h;10h-19h;Gratuit;Ouvert;La Cité des sciences et de l'industrie a rouvert ses portes le 27 juin.
PAN006;Zoo;Espace Rambouillet;Parc animalier et forestier, l'Espace Rambouillet propose une immersion unique dans la forêt à la découverte des rapaces (aigles, vautours) et des animaux (sangliers, cerfs). Animations et spectacles pour toute la famille.;Route du Coin du Bois, Forêt Domaniale de Rambouillet;78120.0;Sonchamp;https://www.espacerambouillet.fr/;48.627383, 1.873798;;01 34 83 05 00;Fermé;10h-18h30;10h-18h30;10h-18h30;10h-18h30;10h-18h30;10h-18h30;Payant;Ouvert;L'Espace Rambouillet  a rouvert ses portes le 3 juin. Jusq'au 5 juillet, il ouvre les mercredis, samedis et dimanches, de 10h à 18h30.
PAN017;Zoo;Parrot World;Parrot World, premier parc animalier immersif dédié à l'Amérique du Sud, permet de découvrir les animaux et les paysages d'Amazonie et de Patagonie. À terme, le parc comptera 4 zones thématiques mettant en scène les animaux d'Afrique, d'Océanie et d'Asie.;Route de Guérard;77580.0;Crécy-La-Chapelle;https://www.parrotworld.fr/;48.841795, 2.944546;commercial@parrotworld.fr;01 64 75 34 44;10h-19h30;10h-19h30;10h-19h30;10h-19h30;10h-19h30;10h-19h30;10h-19h30;Payant;Ouvert;Ouverture le 15 août 2020
PAN025;Ferme pédagogique;Ferme Ouverte de Saint-Denis;Une visite balisée de la ferme permet aux visiteurs de découvrir les techniques agricoles d'hier, d'aujourd'hui et de demain et permet également de rencontrer les moutons, chèvres, cochons et poules de la ferme.;114 Avenue de Stalingrad;93200.0;Saint-Denis;https://www.lesfermesdegally.com/la-ferme-urbaine-saint-denis/la-ferme-ouverte-saint-denis;48.947442, 2.374769;;;14h-18h30;14h-18h30;14h-18h30;14h-18h30;14h-18h30;14h-18h30;14h-18h30;Payant;Ouvert;La Ferme a rouvert fin mai. Pour la sécurité de tous, la visite se fait sous forme de circuit en sens unique et la fréquentation est limitée. Il est donc  recommandé de réserver en ligne.
PAN010;Zoo;ZooSafari de Thoiry;Le parc s'étend sur 150 hectares et présente environ 750 animaux. Il comporte une partie safari, visible en voiture, au milieu d'animaux en semi-liberté. Le parc dispose également de jardins peuplés d'animaux sauvages.;Rue du Pavillon de Montreuil;78770.0;Thoiry;https://www.thoiry.net/;48.864114, 1.796804;info@thoiry.net;01 34 87 40 67;10h-18h;10h-18h;10h-18h;10h-18h;10h-18h;10h-18h;10h-18h;Payant;Ouvert;Le ZooSafari de Thoiry a rouvert ses portes le 3 Juin. L'achat des billets en ligne est obligatoire.
